,loss,iteration
0, 80.5059,1
1, 67.4676,2
2, 58.9605,3
3, 52.8913,4
4, 48.3410,5
5, 44.8081,6
6, 41.9911,7
7, 39.6973,8
8, 37.7981,9
9, 36.2044,10
10, 34.8521,11
11, 33.6941,12
12, 32.6946,13
13, 31.8262,14
14, 31.0672,15
15, 30.4003,16
16, 29.8116,17
17, 29.2898,18
18, 28.8255,19
19, 28.4109,20
20, 28.0393,21
21, 27.7054,22
22, 27.4044,23
23, 27.1323,24
24, 26.8856,25
25, 26.6616,26
26, 26.4578,27
27, 26.2715,28
28, 26.1012,29
29, 25.9452,30
30, 25.8020,31
31, 25.6703,32
32, 25.5489,33
33, 25.4368,34
34, 25.3332,35
35, 25.2373,36
36, 25.1483,37
37, 25.0657,38
38, 24.9889,39
39, 24.9174,40
40, 24.8507,41
41, 24.7884,42
42, 24.7303,43
43, 24.6758,44
44, 24.6248,45
45, 24.5771,46
46, 24.5322,47
47, 24.4900,48
48, 24.4504,49
49, 24.4131,50
50, 24.3778,51
51, 24.3448,52
52, 24.3133,53
53, 24.2839,54
54, 24.2559,55
55, 24.2295,56
56, 24.2044,57
57, 24.1807,58
58, 24.1581,59
59, 24.1369,60
60, 24.1166,61
61, 24.0974,62
62, 24.0792,63
63, 24.0618,64
64, 24.0452,65
65, 24.0294,66
66, 24.0144,67
67, 24.0001,68
68, 23.9865,69
69, 23.9734,70
